"Title","Link","Published Date","Description"
"Netanjahu erteilt Zweistaatenlösung klare Absage","https://www.derstandard.at/jetzt/livebericht/3000000203582/pakistan-bombardierte-ziele-im-iran?ref=rss","Thu Jan 18 05:56:04 CET 2024","Pakistan droht dem Iran nach Raketenbeschuss mit weiterer Vergeltung. EU-Parlament fordert Waffenstillstand. Israels Präsident lehnt derzeit Friedensgespräche ab"
"Österreichs Abfahrer sind erfolglos wie nie zuvor und warten auf den Turnaround","https://www.derstandard.at/story/3000000203728/oesterreichs-abfahrer-sind-erfolglos-wie-nie-zuvor-und-warten-auf-den-turnaround?ref=rss","Thu Jan 18 17:45:39 CET 2024","Das Abfahrtsteam schwächelt. Neue Talente sind rar, die Infrastruktur ist ausbaufähig. Die Erwartungen für Kitzbühel sind niedrig"
"Niemand weiß, wann der ""Elden Ring""-DLC kommt, aber die Fans drehen durch","https://www.derstandard.at/story/3000000203683/niemand-weiss-wann-der-elden-ring-dlc-kommt-aber-die-fans-drehen-durch?ref=rss","Thu Jan 18 20:00:00 CET 2024","Die Erwartungen hinsichtlich ""Shadow of the Erdtree"" wachsen und nehmen bizarre Auswüchse an. Taylor Swift soll über geheimes Wissen über die Erweiterung verfügen"
"Demoskopin Scheindlin: ""Man kann die Hamas nicht auslöschen""","https://www.derstandard.at/story/3000000203648/demoskopin-scheindlin-man-kann-die-hamas-nicht-ausloeschen?ref=rss","Thu Jan 18 15:00:00 CET 2024","Die israelische Meinungsforscherin und Analystin hält internationale Hilfe für den einzigen Weg, den Nahen Osten zu befrieden"
"Hohe Inflation höhlt die Betriebspensionen aus","https://www.derstandard.at/story/3000000203725/hohe-inflation-hoehlt-die-betriebspensionen-aus?ref=rss","Thu Jan 18 17:41:39 CET 2024","Trotz positiver Veranlagung im Vorjahr mussten Bezieher einer Betriebspension das zweite Jahr in Folge Kaufkraftverluste hinnehmen. Dennoch wollen die Anbieter mehr Menschen ins System holen"
"Ist es ungesund, spätabends zu essen?","https://www.derstandard.at/story/3000000203530/ist-es-ungesund-spaetabends-zu-essen?ref=rss","Thu Jan 18 10:06:54 CET 2024","Den Großteil seiner Nahrung sollte man zum Frühstück und beim Mittagessen verzehren, ist eine alte Weisheit. Das passt aber oft nicht mit dem Lebensstil zusammen. Was sagt die Wissenschaft dazu?"
"Sexuelle Ausbeutung? Abercrombie muss sich seiner Vergangenheit stellen","https://www.derstandard.at/story/3000000203573/flecken-auf-der-wei223en-weste?ref=rss","Thu Jan 18 15:00:00 CET 2024","Einst begehrte Jugendmarke, rutschte Abercrombie &amp; Fitch in eine Reihe von Skandalen. Auf das Ausscheiden von CEO Mike Jeffries 2014 folgte ein enormer Aufschwung, neue Vorwürfe aus alten Zeiten werfen neue Schatten auf sein Wirken"
"Wie Rollstuhlfahrer von der ÖBB abgekoppelt werden","https://www.derstandard.at/story/3000000203107/wie-rollstuhlfahrer-von-den-oebb-abgekoppelt-werden?ref=rss","Thu Jan 18 12:00:15 CET 2024","Nach dem x-ten Ausfall eines Niederflurzugs fragt Kenneth Hoffelner: ""Soll mein Sohn sich darauf einrichten, einen Großteil seines Lebens am Bahnsteig zu verbringen?"""
"""Mooncity"" ist Österreichs größter innerstädtischer Schnellladepark","https://www.derstandard.at/story/3000000203658/mooncity-ist-oesterreichs-groesster-innerstaedtischer-schnellladepark?ref=rss","Thu Jan 18 16:00:27 CET 2024","2019 rief die Porsche Holding in Salzburg die Mooncity ins Leben. Nun wurde sie als E-Mobilität-Kompetenzzentrum neu konzipiert"
"Green Day und ihr neues Album ""Saviors"": Wo die Pfandbecher fliegen","https://www.derstandard.at/story/3000000203512/green-day-und-ihr-neues-album-saviors-wo-die-pfandbecher-fliegen?ref=rss","Thu Jan 18 15:08:17 CET 2024","Das US-Trio kommt aus der Punkerhütte und gilt als fixe Größe des Stadionrock. Das werden sie im Juni auch wieder beim Nova-Rock-Festival unter Beweis stellen"
